"","country","date","E","C","TR","Y","URB"
"4417","Turkmenistan",1990,4708.66128821556,12.0007967146541,NA,3533.60113182536,45.075
"4418","Turkmenistan",1991,3977.25432795486,9.88766496885484,66.1016949152542,3281.34143632654,44.99
"4419","Turkmenistan",1992,2644.36531563895,7.15656118923107,105.3125,2715.93203974202,44.904
"4420","Turkmenistan",1993,2603.17141809729,6.68998521218603,146.067864271457,2684.6523861659,44.819
"4421","Turkmenistan",1994,3219.07885170155,8.11630769334995,170.258027522936,2165.77333655628,44.734
"4422","Turkmenistan",1995,3239.34900273812,8.04183387068116,168.179524539877,1965.33491003282,44.794
"4423","Turkmenistan",1996,2780.98799537699,7.11656316196837,152.516129032258,2060.70409879415,45.018
"4424","Turkmenistan",1997,2744.62448140007,6.99009916419016,103.690369036904,1799.60043677333,45.241
"4425","Turkmenistan",1998,2826.57925040116,7.18458261584013,96.3201143265452,1897.86467089609,45.465
"4426","Turkmenistan",1999,3294.98171438448,8.37312564387339,90.4761904761905,2176.84220532412,45.689
"4427","Turkmenistan",2000,3256.55179145623,8.42777140165791,103.580317825005,2261.69986509521,45.913
"4428","Turkmenistan",2001,3271.08382267976,8.44062709407835,81.9858549438358,2326.36025746557,46.137
"4429","Turkmenistan",2002,3366.60645486413,8.81274356411876,63.7046861184792,2300.63918745965,46.362
"4430","Turkmenistan",2003,3706.21800265098,9.73952865609243,63.201750694386,2345.87918266612,46.587
"4431","Turkmenistan",2004,3820.65387883959,10.2422054727673,59.3199674884855,2432.10846238412,46.812
"4432","Turkmenistan",2005,3924.71593554758,10.3550818447432,53.9723419741336,2711.98325001691,47.052
"4433","Turkmenistan",2006,3964.18934971919,10.4796722021611,52.4473010022922,2968.11316104068,47.308
"4434","Turkmenistan",2007,4453.41832086408,11.6385340665893,56.2777777777778,3249.87774743991,47.581
"4435","Turkmenistan",2008,4439.65186448926,11.6233010325518,94.7240751970891,3672.65473901885,47.868
"4436","Turkmenistan",2009,3837.70971270366,10.1114137793462,104.95217927132,3835.8599588479,48.172
"4437","Turkmenistan",2010,4306.23750704731,11.2329986693166,96.8630558404027,4119.57179879187,48.491
"4438","Turkmenistan",2011,4603.66948209888,12.2097757223674,111.062833823441,4643.31654083948,48.825
"4439","Turkmenistan",2012,4678.32601349557,12.6431068891721,109.333652637251,5066.23173582571,49.175
"4440","Timor-Leste",1990,NA,0,NA,NA,20.842
"4441","Timor-Leste",1991,NA,0,NA,NA,21.215
"4442","Timor-Leste",1992,NA,0,NA,NA,21.54
"4443","Timor-Leste",1993,NA,0,NA,NA,21.867
"4444","Timor-Leste",1994,NA,0,NA,NA,22.199
"4445","Timor-Leste",1995,NA,0,NA,NA,22.534
"4446","Timor-Leste",1996,NA,0,NA,NA,22.873
"4447","Timor-Leste",1997,NA,0,NA,NA,23.215
"4448","Timor-Leste",1998,NA,0,NA,NA,23.561
"4449","Timor-Leste",1999,NA,0,NA,NA,23.91
"4450","Timor-Leste",2000,NA,0,175.544549411735,948.028305803128,24.263
"4451","Timor-Leste",2001,NA,0,166.696373497597,1084.92491421129,24.619
"4452","Timor-Leste",2002,NA,0.185678054700821,180.373167883194,993.71299343285,24.979
"4453","Timor-Leste",2003,NA,0.181068520083175,122.311983977659,954.110397385955,25.343
"4454","Timor-Leste",2004,61.3114951653772,0.207824826715744,107.341160996533,938.415687859175,25.71
"4455","Timor-Leste",2005,59.836193262651,0.214584968941921,74.675923718833,943.197092076207,26.041
"4456","Timor-Leste",2006,59.3224769848899,0.20581883116622,98.872955377189,881.382597632673,26.374
"4457","Timor-Leste",2007,59.8413517474656,0.200713779795598,128.760893188042,948.191999113756,26.709
"4458","Timor-Leste",2008,NA,0.201423482085677,135.257197672304,1032.18393937661,27.048
"4459","Timor-Leste",2009,NA,0.219794658107626,157.698467947784,1112.92361569267,27.389
"4460","Timor-Leste",2010,NA,0.223153995549782,134.412939906498,1191.10302703395,27.732
"4461","Timor-Leste",2011,NA,0.225701183134228,140.782969847544,1234.27562271451,28.079
"4462","Timor-Leste",2012,NA,0.263255970944276,128.518814931442,1266.14487369432,28.428
"4463","Tonga",1990,256.723733122651,0.810315313946539,98.9657234499443,2644.93108645477,22.704
"4464","Tonga",1991,NA,0.94030905969094,83.4620679999067,2806.55706009716,22.736
"4465","Tonga",1992,NA,0.774733024380415,72.6308207233457,2806.54238844431,22.768
"4466","Tonga",1993,NA,0.867406424637157,67.443522721344,2904.6634390595,22.8
"4467","Tonga",1994,NA,0.925489566935055,62.959884025843,3041.21190623474,22.832
"4468","Tonga",1995,NA,0.990227752383048,71.1193987681528,3257.57357048956,22.864
"4469","Tonga",1996,NA,0.80842357403064,77.8331737971833,3309.17441838624,22.897
"4470","Tonga",1997,NA,0.935842158596435,71.8501614442849,3334.25295368638,22.927
"4471","Tonga",1998,NA,0.936423827990093,78.2915618602903,3393.14311077193,22.955
"4472","Tonga",1999,NA,1.11686376027142,50.5284858403347,3497.00885433085,22.984
"4473","Tonga",2000,NA,1.00386928257458,52.8179790272479,3506.29140948166,23.012
"4474","Tonga",2001,NA,0.918515647708555,58.231431149838,3616.34534694957,23.041
"4475","Tonga",2002,NA,0.981657739586143,73.5146338383934,3769.96909449981,23.069
"4476","Tonga",2003,NA,1.18475241835073,76.072622497597,3834.59561347255,23.098
"4477","Tonga",2004,542.671084199703,1.20339693057618,76.1814066549823,3719.85226863031,23.127
